Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Alex Abrines\abrinal01,SG,23,OKC,53,799,10.1,.581,.714,.171,1.8,6.3,4.1,5.0,1.3,0.5,8.1,15.7,,1.1,0.6,1.6,.099,,-0.2,-2.9,-3.1,-0.2
2,Quincy Acy\acyqu01,PF,26,TOT,23,265,15.5,.635,.528,.382,5.3,16.7,11.0,1.8,0.9,3.4,9.6,18.9,,0.5,0.2,0.7,.122,,-0.7,-2.4,-3.1,-0.1
3,Steven Adams\adamsst01,C,23,OKC,62,1890,16.7,.594,.004,.383,12.5,15.9,14.2,5.6,1.7,2.7,16.1,16.6,,2.7,2.4,5.1,.129,,-0.8,1.1,0.3,1.1
4,Arron Afflalo\afflaar01,SG,31,SAC,53,1367,8.6,.548,.366,.224,0.8,8.0,4.4,7.4,0.8,0.4,8.1,13.9,,0.9,0.3,1.2,.043,,-1.7,-2.0,-3.6,-0.6
5,Alexis Ajinca\ajincal01,C,28,NOP,28,410,11.1,.501,.026,.254,7.7,23.0,15.3,3.3,1.8,3.6,15.9,16.3,,-0.2,0.7,0.5,.056,,-6.1,1.7,-4.4,-0.3
6,Cole Aldrich\aldrico01,C,28,MIN,56,486,13.1,.546,.000,.280,11.5,23.9,17.7,7.0,2.5,3.9,14.3,9.0,,0.6,0.8,1.4,.136,,-1.7,3.4,1.6,0.4
7,LaMarcus Aldridge\aldrila01,PF,31,SAS,57,1860,18.3,.532,.048,.295,8.6,17.2,13.0,10.3,0.9,2.9,8.2,24.4,,2.8,2.9,5.8,.149,,-0.4,1.2,0.8,1.3
8,Lavoy Allen\allenla01,PF,27,IND,47,678,10.4,.469,.008,.168,11.3,14.4,12.9,9.2,1.1,2.2,13.0,10.7,,0.5,0.6,1.1,.075,,-2.2,1.3,-1.0,0.2
9,Tony Allen\allento01,SG,35,MEM,55,1512,13.1,.495,.082,.239,9.3,13.8,11.5,7.1,3.4,1.6,14.5,17.9,,-0.1,2.5,2.3,.074,,-2.2,2.7,0.5,1.0
10,Al-Farouq Aminu\aminual01,SF,26,POR,42,1222,11.3,.505,.459,.240,4.4,23.5,13.9,9.5,1.7,2.0,15.4,15.6,,-0.1,1.2,1.1,.042,,-2.2,1.0,-1.2,0.3
11,Chris Andersen\anderch01,C,38,CLE,12,114,11.6,.497,.136,.636,9.0,20.7,15.0,5.9,2.2,4.9,15.1,12.8,,0.1,0.2,0.2,.105,,-3.7,3.0,-0.7,0.0
12,Alan Anderson\anderal01,SF,34,LAC,25,273,4.7,.470,.548,.178,1.2,8.4,4.9,5.6,0.5,0.0,8.2,14.0,,-0.1,0.1,0.0,.004,,-3.1,-2.3,-5.4,-0.2
13,Justin Anderson\anderju01,SF,23,TOT,57,827,15.1,.533,.441,.291,6.6,18.7,12.4,7.9,1.9,1.8,11.3,23.0,,0.3,1.1,1.4,.081,,-1.3,-0.3,-1.6,0.1
14,Kyle Anderson\anderky01,SG,23,SAS,55,719,12.4,.524,.196,.308,3.7,18.2,11.2,11.6,2.5,2.4,14.3,11.9,,0.5,1.4,1.9,.126,,-2.1,3.7,1.5,0.6
15,Ryan Anderson\anderry01,PF,28,HOU,61,1846,13.4,.579,.638,.212,5.9,11.9,8.9,4.6,0.8,0.6,6.6,18.0,,3.4,1.1,4.5,.117,,1.7,-2.4,-0.7,0.6
16,Giannis Antetokounmpo\antetgi01,SF,22,MIL,62,2203,26.9,.610,.151,.471,6.2,21.8,14.1,26.5,2.5,4.9,13.4,28.1,,6.8,3.4,10.2,.222,,4.8,3.6,8.4,5.8
17,Carmelo Anthony\anthoca01,SF,32,NYK,63,2171,18.6,.540,.302,.265,2.7,15.8,9.3,14.5,1.2,1.2,9.0,29.4,,3.2,1.3,4.5,.100,,1.8,-2.2,-0.3,0.9
18,Joel Anthony\anthojo01,C,34,SAS,11,59,13.8,.676,.000,.250,11.8,20.5,16.3,2.3,0.9,2.8,10.1,7.6,,0.1,0.1,0.2,.186,,-1.2,1.2,0.0,0.0
19,Trevor Ariza\arizatr01,SF,31,HOU,65,2238,12.2,.543,.711,.146,2.3,15.8,9.0,8.9,2.5,0.6,8.0,14.2,,2.2,2.6,4.8,.103,,0.8,1.0,1.8,2.1
