Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
1,Alex Abrines\abrinal01,SG,24,OKC,10,167,4.8,.465,.650,.050,2.6,6.9,4.7,4.2,2.1,0.5,10.9,11.9,"",-0.1,0.2,0.2,.054,"",-3.1,0.3,-2.7,0.0
2,Quincy Acy\acyqu01,PF,27,BRK,8,128,5.4,.543,.917,.111,2.3,22.3,11.8,5.4,1.1,0.0,22.6,15.2,"",-0.1,0.1,0.0,-0.013,"",-3.7,-1.4,-5.1,-0.1
3,Steven Adams\adamsst01,C,24,OKC,10,308,22.8,.707,.000,.291,14.3,15.4,14.8,6.7,2.7,3.8,16.8,15.1,"",1.0,0.7,1.6,.251,"",2.4,3.9,6.3,0.7
4,Bam Adebayo\adebaba01,C,20,MIA,8,112,14.3,.539,.000,.478,14.3,20.0,17.2,0.0,1.7,2.8,9.7,12.1,"",0.2,0.2,0.3,.141,"",-3.6,-1.5,-5.1,-0.1
5,Arron Afflalo\afflaar01,SG,32,ORL,7,56,-0.7,.303,.455,.455,0.0,5.7,2.9,6.6,0.0,1.4,13.2,11.7,"",-0.1,0.0,-0.1,-0.080,"",-6.8,-1.3,-8.1,-0.1
6,Cole Aldrich\aldrico01,C,29,MIN,4,9,0.9,.174,.000,1.000,0.0,13.0,6.5,13.5,5.4,0.0,0.0,13.7,"",0.0,0.0,0.0,-0.087,"",-7.1,1.9,-5.2,0.0
7,LaMarcus Aldridge\aldrila01,PF,32,SAS,11,368,24.7,.557,.108,.333,9.8,17.2,13.4,10.9,1.2,3.3,7.1,28.3,"",1.1,0.5,1.5,.202,"",2.9,0.0,2.9,0.5
8,Jarrett Allen\allenja01,C,19,BRK,6,90,10.9,.455,.045,.455,6.4,11.7,8.9,3.1,3.0,5.0,10.2,13.0,"",0.0,0.1,0.1,.055,"",-4.8,3.3,-1.5,0.0
9,Tony Allen\allento01,SG,36,NOP,11,148,8.0,.495,.163,.163,5.1,11.1,8.2,4.2,2.6,1.1,16.0,18.2,"",-0.2,0.2,0.0,.011,"",-5.2,-0.2,-5.3,-0.1
10,Al-Farouq Aminu\aminual01,PF,27,POR,8,241,16.1,.574,.500,.200,6.4,23.4,14.8,8.7,1.4,3.5,8.4,12.7,"",0.5,0.4,0.9,.183,"",1.2,3.0,4.2,0.4
11,Justin Anderson\anderju01,SF,24,PHI,6,73,7.5,.488,.533,.133,4.4,9.8,7.2,2.0,0.6,1.2,5.9,19.2,"",0.0,0.1,0.0,.033,"",-2.7,-3.3,-6.0,-0.1
12,Kyle Anderson\anderky01,SF,24,SAS,11,288,15.3,.523,.083,.292,7.5,19.7,13.3,12.1,1.6,3.3,11.0,13.7,"",0.4,0.4,0.8,.134,"",-0.8,3.0,2.3,0.3
13,Ryan Anderson\anderry01,PF,29,HOU,11,343,13.4,.611,.821,.132,3.6,16.8,10.2,2.7,0.4,1.5,4.3,14.9,"",0.7,0.3,1.0,.138,"",1.5,-1.6,-0.1,0.2
14,Ike Anigbogu\anigbik01,C,19,IND,4,12,12.2,.515,.000,.667,18.4,0.0,9.2,0.0,4.0,6.5,34.0,21.1,"",0.0,0.0,0.0,-0.013,"",-5.7,1.0,-4.7,0.0
15,Giannis Antetokounmpo\antetgi01,PF,23,MIL,10,372,32.7,.657,.101,.380,5.3,26.4,15.9,25.9,2.0,4.0,13.2,34.5,"",1.6,0.4,2.0,.256,"",6.9,1.6,8.5,1.0
16,Carmelo Anthony\anthoca01,SF,33,OKC,10,324,16.9,.526,.392,.269,2.4,18.2,10.1,8.4,1.4,2.5,8.2,27.8,"",0.3,0.6,0.9,.132,"",-0.9,-0.7,-1.6,0.0
17,OG Anunoby\anunoog01,SF,20,TOR,10,166,13.1,.492,.540,.220,6.3,10.4,8.4,12.6,2.6,0.5,5.2,15.2,"",0.2,0.2,0.4,.121,"",2.4,0.4,2.9,0.2
18,Ryan Arcidiacono\arcidry01,PG,23,CHI,1,5,-13.6,.000,1.000,.000,0.0,0.0,0.0,27.8,0.0,0.0,0.0,17.5,"",0.0,0.0,0.0,-0.334,"",-12.2,-9.2,-21.3,0.0
19,Trevor Ariza\arizatr01,SF,32,HOU,9,315,9.7,.495,.747,.147,2.5,12.9,7.7,12.5,1.8,0.5,10.1,12.3,"",0.2,0.3,0.6,.090,"",-0.2,0.9,0.6,0.2
20,Darrell Arthur\arthuda01,PF,29,DEN,2,19,-3.0,.167,.667,.000,5.7,11.5,8.6,6.7,2.5,0.0,14.3,15.7,"",-0.1,0.0,-0.1,-0.178,"",-8.4,-1.1,-9.5,0.0
21,D.J. Augustin\augusdj01,PG,30,ORL,8,180,18.0,.626,.419,.512,1.2,8.2,4.8,30.7,2.9,0.0,16.0,15.1,"",0.6,0.2,0.8,.208,"",2.6,-0.9,1.7,0.2
22,Luke Babbitt\babbilu01,SF,28,ATL,11,201,12.2,.660,.586,.103,0.5,13.4,6.9,3.9,0.7,0.9,9.0,14.4,"",0.3,0.0,0.3,.082,"",0.3,-2.6,-2.2,0.0
23,Dwayne Bacon\bacondw01,SG,22,CHO,11,267,6.2,.446,.343,.129,0.0,20.4,10.3,7.5,1.1,0.6,10.8,13.5,"",-0.2,0.3,0.1,.015,"",-4.5,1.4,-3.1,-0.1
24,Ron Baker\bakerro01,SG,24,NYK,3,48,9.2,.482,.429,1.429,0.0,4.5,2.4,28.5,4.1,0.0,34.5,15.7,"",0.0,0.0,0.0,-0.011,"",-3.6,-2.0,-5.6,0.0
25,Lonzo Ball\balllo01,PG,20,LAL,11,368,8.7,.352,.394,.098,3.6,15.7,9.9,27.6,1.5,2.2,15.9,18.7,"",-0.7,0.5,-0.1,-0.016,"",-3.5,2.0,-1.6,0.0
26,J.J. Barea\bareajo01,PG,33,DAL,12,263,17.5,.551,.460,.151,2.0,14.2,7.7,40.3,0.8,0.4,17.2,27.4,"",0.3,0.0,0.3,.060,"",3.0,-2.7,0.3,0.2
27,Harrison Barnes\barneha02,PF,25,DAL,12,421,15.2,.532,.268,.306,3.4,16.7,9.6,9.4,0.9,0.4,9.2,24.1,"",0.3,0.1,0.5,.052,"",-0.7,-2.0,-2.8,-0.1
28,Will Barton\bartowi01,SG,27,DEN,11,311,16.3,.542,.409,.220,3.1,17.5,10.3,15.9,2.0,1.1,11.6,22.4,"",0.3,0.3,0.7,.103,"",0.7,-0.4,0.3,0.2
29,Jerryd Bayless\bayleje01,SG,29,PHI,9,280,10.0,.609,.592,.158,0.8,8.4,4.7,9.0,1.2,0.6,12.9,13.8,"",0.3,0.2,0.5,.090,"",0.1,-0.4,-0.3,0.1
30,Aron Baynes\baynear01,C,31,BOS,12,232,15.5,.552,.015,.379,11.7,20.0,15.9,8.2,0.6,2.8,11.5,16.4,"",0.4,0.5,0.9,.184,"",-1.6,2.4,0.8,0.2
31,Kent Bazemore\bazemke01,SG,28,ATL,11,322,12.4,.483,.331,.458,2.0,14.8,8.3,18.8,3.0,1.7,17.5,23.1,"",-0.3,0.3,0.0,.006,"",-2.5,0.7,-1.8,0.0
32,Bradley Beal\bealbr01,SG,24,WAS,10,346,22.8,.599,.301,.361,3.8,11.2,7.4,15.4,1.5,1.2,10.9,29.2,"",1.0,0.2,1.2,.163,"",4.2,-1.7,2.5,0.4
33,Malik Beasley\beaslma01,SG,21,DEN,11,112,4.1,.421,.500,.067,2.9,13.6,8.2,8.5,0.4,0.0,11.5,13.3,"",-0.1,0.0,0.0,-0.015,"",-4.2,-2.4,-6.6,-0.1
34,Michael Beasley\beaslmi01,PF,29,NYK,9,110,8.5,.481,.135,.216,4.4,15.8,10.4,13.1,0.5,0.9,18.2,19.5,"",-0.1,0.0,-0.1,-0.022,"",-3.6,-1.6,-5.2,-0.1
35,Marco Belinelli\belinma01,SG,31,ATL,11,283,14.6,.565,.533,.200,0.7,8.0,4.3,14.9,1.9,0.0,9.5,19.3,"",0.4,0.1,0.5,.079,"",1.5,-2.7,-1.3,0.1
36,Jordan Bell\belljo01,C,23,GSW,10,90,20.8,.708,.000,.040,10.7,16.9,14.0,13.9,2.6,5.2,16.4,14.5,"",0.3,0.2,0.4,.220,"",2.8,3.4,6.1,0.2
37,DeAndre' Bembry\bembrde01,SF,23,ATL,1,18,16.7,.500,.167,.000,5.9,30.0,17.8,8.9,5.3,5.0,25.0,19.2,"",0.0,0.0,0.0,.020,"",-5.7,5.3,-0.4,0.0
38,Dragan Bender\bendedr01,PF,20,PHO,12,255,6.7,.475,.696,.161,2.4,19.0,10.5,5.6,0.7,3.0,18.9,12.0,"",-0.2,0.1,-0.1,-0.018,"",-3.5,0.0,-3.5,-0.1
39,Davis Bertans\bertada01,PF,25,SAS,7,43,9.3,.460,.733,.200,0.0,18.4,8.8,10.1,1.2,2.0,5.8,17.4,"",0.0,0.1,0.1,.061,"",-1.8,-0.9,-2.7,0.0
40,Patrick Beverley\beverpa01,SG,29,LAC,10,311,13.6,.528,.477,.153,5.6,7.9,6.8,14.6,3.0,1.1,16.3,19.5,"",0.2,0.3,0.6,.086,"",2.0,0.5,2.5,0.4
41,Khem Birch\birchkh01,C,25,ORL,2,6,10.7,.333,.000,.000,37.1,0.0,18.1,24.3,0.0,0.0,0.0,21.6,"",0.0,0.0,0.0,.136,"",4.5,-2.0,2.6,0.0
42,Jabari Bird\birdja01,SG,23,BOS,2,16,3.2,.469,1.000,5.000,0.0,6.6,3.3,0.0,0.0,0.0,0.0,8.7,"",0.0,0.0,0.0,.078,"",-3.7,-2.0,-5.8,0.0
43,Bismack Biyombo\biyombi01,C,25,ORL,11,154,7.4,.499,.000,.719,10.1,20.0,15.2,0.0,0.6,5.5,23.6,15.5,"",-0.1,0.2,0.1,.028,"",-7.4,-0.7,-8.1,-0.2
44,Nemanja Bjelica\bjeline01,PF,29,MIN,11,170,19.6,.798,.563,.250,2.0,17.3,9.6,7.2,2.0,1.0,15.8,16.0,"",0.5,0.1,0.6,.176,"",4.8,-1.1,3.7,0.2
45,Tarik Black\blackta01,C,26,HOU,7,60,17.3,.759,.111,.889,5.6,26.3,16.0,9.6,3.2,5.8,19.3,11.3,"",0.2,0.1,0.3,.252,"",-0.4,5.6,5.2,0.1
46,Antonio Blakeney\blakean01,SG,21,CHI,1,1,85.6,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.8,"",0.0,0.0,0.0,1.414,"",26.3,-11.1,15.2,0.0
47,Eric Bledsoe\bledser01,PG,28,PHO,3,83,13.8,.509,.325,.350,3.6,5.1,4.3,18.5,2.2,1.8,17.8,28.0,"",-0.1,0.0,0.0,-0.018,"",-1.3,-2.9,-4.2,0.0
48,Bogdan Bogdanovic\bogdabo01,SG,25,SAC,7,170,14.7,.563,.283,.117,1.9,9.3,5.5,10.7,2.1,2.3,11.3,18.7,"",0.2,0.1,0.3,.077,"",-0.4,-0.2,-0.6,0.1
49,Bojan Bogdanovic\bogdabo02,SF,28,IND,12,345,14.2,.622,.426,.252,1.6,11.2,6.4,7.0,1.1,0.0,11.1,17.9,"",0.6,0.1,0.7,.097,"",1.6,-2.3,-0.7,0.1
50,Andrew Bogut\bogutan01,C,33,LAL,7,49,6.0,.600,.000,.000,11.3,28.9,20.5,7.8,0.9,6.5,58.3,10.3,"",-0.1,0.1,0.0,.014,"",-6.9,5.4,-1.5,0.0
51,Devin Booker\bookede01,SG,21,PHO,12,395,18.9,.564,.335,.311,1.5,12.8,7.0,20.9,1.4,0.4,12.2,28.4,"",0.7,0.1,0.8,.094,"",3.2,-2.9,0.3,0.2
