Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
1,Alex Abrines\abrinal01,SG,24,OKC,9,0,18.0,1.4,4.1,.351,0.9,2.7,.333,0.6,1.4,.385,.459,0.2,0.2,1.000,0.3,1.1,1.4,0.6,0.8,0.1,0.6,2.7,4.0
2,Quincy Acy\acyqu01,PF,27,BRK,6,0,14.8,2.0,3.8,.522,1.8,3.5,.524,0.2,0.3,.500,.761,0.0,0.0,"",0.3,3.0,3.3,0.2,0.3,0.0,1.5,2.5,5.8
3,Steven Adams\adamsst01,C,24,OKC,9,9,31.0,5.6,8.2,.676,0.0,0.0,"",5.6,8.2,.676,.676,1.3,1.9,.706,4.2,4.1,8.3,1.4,1.3,1.3,1.7,2.1,12.4
4,Bam Adebayo\adebaba01,C,20,MIA,7,3,14.0,1.4,3.1,.455,0.0,0.0,"",1.4,3.1,.455,.455,1.0,1.4,.700,1.7,2.4,4.1,0.0,0.4,0.3,0.3,1.7,3.9
5,Arron Afflalo\afflaar01,SG,32,ORL,7,0,8.0,0.3,1.6,.182,0.0,0.7,.000,0.3,0.9,.333,.182,0.6,0.7,.800,0.0,0.4,0.4,0.4,0.0,0.1,0.3,0.6,1.1
6,Cole Aldrich\aldrico01,C,29,MIN,4,0,2.3,0.0,0.5,.000,0.0,0.0,"",0.0,0.5,.000,.000,0.3,0.5,.500,0.0,0.3,0.3,0.3,0.3,0.0,0.0,0.5,0.3
7,LaMarcus Aldridge\aldrila01,PF,32,SAS,10,10,33.6,8.5,17.6,.483,0.7,1.8,.389,7.8,15.8,.494,.503,4.7,6.2,.758,3.4,5.1,8.5,2.0,0.8,1.2,1.6,2.2,22.4
8,Jarrett Allen\allenja01,C,19,BRK,6,0,15.0,1.5,3.7,.409,0.0,0.2,.000,1.5,3.5,.429,.409,1.0,1.7,.600,1.0,1.7,2.7,0.3,1.0,1.0,0.5,2.0,4.0
9,Tony Allen\allento01,SG,36,NOP,10,0,12.4,2.2,4.5,.489,0.2,0.8,.250,2.0,3.7,.541,.511,0.2,0.8,.250,0.7,1.2,1.9,0.3,0.7,0.2,0.8,2.1,4.8
10,Al-Farouq Aminu\aminual01,PF,27,POR,8,8,30.1,3.3,7.5,.433,1.6,3.8,.433,1.6,3.8,.433,.542,1.3,1.5,.833,1.8,6.4,8.1,1.8,0.9,1.3,0.8,1.8,9.4
